,id,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3357,75116000DU,48.86404173636363,2.2846949636363636,Schwartz's Deli,48.86370195023536,2.285601496696472,Burger Joint
3358,75116000DW,48.86722451470588,2.284335044117647,Renaissance Paris Le Parc Trocadero Hotel,48.86726787351774,2.2856900095939636,Hotel
3359,75116000DW,48.86722451470588,2.284335044117647,La Coincidence,48.86811207825874,2.2842779971630627,French Restaurant
3360,75116000DW,48.86722451470588,2.284335044117647,Le Relais du Parc,48.86724140792764,2.285547852516174,French Restaurant
3361,75116000DX,48.868363034285714,2.284263242857143,Le Petit Rétro,48.868771,2.284863,French Restaurant
3362,75116000DX,48.868363034285714,2.284263242857143,La Coincidence,48.86811207825874,2.2842779971630627,French Restaurant
3363,75116000DX,48.868363034285714,2.284263242857143,Non Solo Pizze,48.868696994598885,2.284810245037079,Italian Restaurant
3364,75116000DX,48.868363034285714,2.284263242857143,Starbucks,48.86917096644839,2.2840730626089445,Coffee Shop
3365,75116000DX,48.868363034285714,2.284263242857143,SFR,48.868494055830276,2.282974786357954,Mobile Phone Shop
3366,75116000DY,48.869033078571434,2.280756469047619,La Pizzeria di Rebellato,48.8685928995033,2.2817471623420715,Pizza Place
3367,75116000DY,48.869033078571434,2.280756469047619,Giulio Rebellato,48.86853114807307,2.281704246997833,Italian Restaurant
3368,75116000EA,48.86858863846154,2.2804570487179485,Béchu,48.86819768903303,2.281484305858612,Bakery
3369,75116000EA,48.86858863846154,2.2804570487179485,Schwartz's Hot Dog,48.867816590266195,2.280595153570175,Hot Dog Joint
3370,75116000EA,48.86858863846154,2.2804570487179485,La Pizzeria di Rebellato,48.8685928995033,2.2817471623420715,Pizza Place
3371,75116000EA,48.86858863846154,2.2804570487179485,Giulio Rebellato,48.86853114807307,2.281704246997833,Italian Restaurant
3372,75116000EB,48.86497671999999,2.2768814266666673,Square Lamartine,48.8651543718843,2.2760016186578365,Garden
3373,75116000EC,48.86497557666666,2.27277267,Le Flandrin,48.86416975378794,2.2722470467493054,French Restaurant
3374,75116000EC,48.86497557666666,2.27277267,RER Avenue Henri Martin [C],48.864640438745624,2.2722263750415843,Train Station
3375,75116000ED,48.86703219230769,2.274386692307692,Schou,48.86620495562046,2.274081836414187,Bakery
3376,75118000BC,48.8985503,2.345924363157895,Station Porte de Clignancourt [T3b],48.89805,2.345122,Tram Station
3377,75119000BK,48.894876122727275,2.3828526840909094,La Violette,48.8954768766363,2.383057882263913,French Restaurant
3378,75119000BK,48.894876122727275,2.3828526840909094,Sabbah,48.89458510723017,2.3818246616391856,Grocery Store
3379,75119000BK,48.894876122727275,2.3828526840909094,Métro Corentin Cariou [7],48.895521433003935,2.382180878768991,Metro Station
3380,75119000BK,48.894876122727275,2.3828526840909094,Emsalem,48.895279,2.382828,Department Store
3381,75119000BK,48.894876122727275,2.3828526840909094,Osaka Sushi,48.894500602043294,2.38290935754776,Japanese Restaurant
3382,75116000EF,48.87031871951216,2.2735796073170724,Local Channel 9,48.87047363512827,2.273740768432617,College Theater
3383,75116000EG,48.868207964999996,2.271643369999999,Tennis Henry de Montherlant,48.8677770360128,2.2721888562281265,Tennis Court
3384,75116000EG,48.868207964999996,2.271643369999999,Cash Cacher Naouri,48.86735453205414,2.271882306055681,Grocery Store
3385,75116000EG,48.868207964999996,2.271643369999999,L'oasis,48.868068430552626,2.272723102543372,Hot Spring
3386,75116000EG,48.868207964999996,2.271643369999999,"67 boulevard lannes, Paris",48.868271260455565,2.270902218298168,Lounge
3387,75116000ER,48.8712119888889,2.2753527296296285,Il Cottage,48.87047980132968,2.2752706137057457,Pizza Place
3388,75116000ER,48.8712119888889,2.2753527296296285,RER Avenue Foch [C],48.87067123176551,2.275371551513672,Train Station
3389,75116000ER,48.8712119888889,2.2753527296296285,Arrêt Porte Dauphine [PC],48.87065109813039,2.2748938675057664,Bus Stop
3390,75116000ES,48.87078210833334,2.282514033333334,Les Tablettes de Jean-Louis Nomicos,48.8702265833511,2.282893297721712,French Restaurant
3391,75116000ES,48.87078210833334,2.282514033333334,The Honest Lawyer,48.871026071611645,2.283540636466392,Pub
3392,75116000ET,48.8731184875,2.2824412375,Musée d'Ennery,48.87229264117748,2.2820522947528943,Art Museum
3393,75116000EW,48.87614083437501,2.28197684375,Marionnaud,48.87638385664727,2.2823265464791933,Cosmetics Shop
3394,75116000EW,48.87614083437501,2.28197684375,Cirque Romanès,48.875866,2.280681,Circus
3395,75116000EX,48.87665328666668,2.2812966906666663,Marionnaud,48.87638385664727,2.2823265464791933,Cosmetics Shop
3396,75116000EX,48.87665328666668,2.2812966906666663,Cirque Romanès,48.875866,2.280681,Circus
3397,75116000EZ,48.876642777777775,2.2848143,Le Congrès Maillot,48.87749842195497,2.2845205664634705,French Restaurant
3398,75116000EZ,48.876642777777775,2.2848143,Pharmacie Grande Armée,48.87709,2.285228,Pharmacy
3399,75116000EZ,48.876642777777775,2.2848143,Il Naturale,48.87736259288818,2.2850248217582703,Pizza Place
3400,75116000EZ,48.876642777777775,2.2848143,Résidence Impériale,48.87624989590985,2.2836859355385974,Hotel
3401,75116000EZ,48.876642777777775,2.2848143,L'Escale,48.87725322376117,2.2852957248687744,French Restaurant
3402,75116000EZ,48.876642777777775,2.2848143,La Terrasse Bar,48.87738850187014,2.284924238920212,Bar
3403,75116000FB,48.87389349090908,2.292708586363636,L'Arc,48.87398320633774,2.2934234345243767,Nightclub
3404,75116000FB,48.87389349090908,2.292708586363636,La Belle Armée,48.874171192754936,2.2926436364650726,French Restaurant
3405,75116000FB,48.87389349090908,2.292708586363636,Victoria 1836,48.873985973079506,2.2934110636265013,French Restaurant
3406,75116000FB,48.87389349090908,2.292708586363636,Le Duplex,48.87367604646038,2.2926762827180514,Nightclub
3407,75116000FB,48.87389349090908,2.292708586363636,Bowling Duplex,48.87355495052724,2.292663380778976,Bowling Alley
3408,75116000FB,48.87389349090908,2.292708586363636,Mojito Habana,48.873984932869405,2.2927687991704304,Bar
3409,75116000FC,48.87259770833333,2.2899166166666665,SEPHORA,48.872033,2.290608,Cosmetics Shop
3410,75116000FC,48.87259770833333,2.2899166166666665,Zara,48.871786486074704,2.2902807725837917,Clothing Store
3411,75116000FF,48.87107738846154,2.291952173076923,Atelier Vivanda,48.8715643506324,2.2923134091902178,Steakhouse
3412,75116000FF,48.87107738846154,2.291952173076923,Akrame,48.8715439881004,2.2923035888114236,French Restaurant
3413,75116000FF,48.87107738846154,2.291952173076923,The Peninsula Spa,48.870842,2.293185,Spa
3414,75116000FF,48.87107738846154,2.291952173076923,Le Bar Kléber,48.87086984125654,2.293059989008592,Hotel Bar
3415,75116000FF,48.87107738846154,2.291952173076923,LiLi,48.870736335106045,2.2928839186064005,Cantonese Restaurant
3416,75116000FF,48.87107738846154,2.291952173076923,Brut,48.871288,2.292089,Wine Bar
3417,75116000FF,48.87107738846154,2.291952173076923,Le Vieux Crapaud,48.87169202825806,2.2925175443486365,French Restaurant
3418,75116000FF,48.87107738846154,2.291952173076923,Mayfair Garden,48.871105,2.29176,Indian Restaurant
3419,75116000FG,48.87327807209301,2.294770586046511,Place Charles de Gaulle – Place de l'Étoile (Place Charles de Gaulle | Place de l'Étoile),48.8737338798552,2.2949838638305664,Plaza
3420,75117000BD,48.88795453529412,2.2964052735294116,Raoul maeder,48.88825228669105,2.2959543904138733,Bakery
3421,75117000BD,48.88795453529412,2.2964052735294116,Piscine Champerret,48.8886412082399,2.2959722261958126,Gym Pool
3422,75117000BD,48.88795453529412,2.2964052735294116,Marche Massard,48.887803275742094,2.2976179257859957,Farmers Market
3423,75118000BD,48.89689798799999,2.3445107599999995,La REcyclerie,48.897581,2.344176,Beer Garden
3424,75118000BD,48.89689798799999,2.3445107599999995,O'maki,48.89724985238306,2.3441637882409236,African Restaurant
3425,75118000BD,48.89689798799999,2.3445107599999995,Occo Chicken,48.89756267417991,2.344406057442916,Fried Chicken Joint
3426,75118000BD,48.89689798799999,2.3445107599999995,Intermarché EXPRESS Paris,48.89701944,2.34427875,Supermarket
3427,75118000BD,48.89689798799999,2.3445107599999995,Kyriad Paris 18 - Porte De Clignancourt - Montmartre,48.89695193759997,2.345821648830055,Hotel
3428,75118000BD,48.89689798799999,2.3445107599999995,Hotel Iliade,48.8966282692335,2.343636202820937,Hotel
3429,75118000BD,48.89689798799999,2.3445107599999995,Métro Porte de Clignancourt [4],48.89764795444666,2.3442977893195707,Metro Station
3430,75118000BD,48.89689798799999,2.3445107599999995,Bus 137,48.897748,2.344719,Bus Station
3431,75120000BL,48.866791211475416,2.404672480327869,Place Édith Piaf,48.86639128962928,2.4054910325300622,Plaza
3432,75120000BL,48.866791211475416,2.404672480327869,Le Carrosse,48.867072099746075,2.405796644006299,Music Venue
3433,75116000FH,48.871347629268286,2.29484646097561,La Terrasse,48.871354,2.293712,Roof Deck
3434,75116000FH,48.871347629268286,2.29484646097561,Hôtel Raphaël,48.87128583865526,2.2940196996036493,Hotel
3435,75116000FH,48.871347629268286,2.29484646097561,Sir Winston,48.872199174694515,2.2948300233135797,Pub
3436,75116000FI,48.86924814117647,2.29593775882353,Le Speakeasy,48.86947874846277,2.2964952886104584,French Restaurant
3437,75116000FI,48.86924814117647,2.29593775882353,Hôtel Bassano Paris,48.86905708035938,2.297206073999405,Hotel
3438,75116000FI,48.86924814117647,2.29593775882353,Kambodgia,48.86900222134255,2.2971537709236145,Cambodian Restaurant
3439,75116000FI,48.86924814117647,2.29593775882353,African Lounge,48.869507776608245,2.2968365997076035,African Restaurant
3440,75116000FI,48.86924814117647,2.29593775882353,Casa Paco,48.868888,2.297,Tapas Restaurant
3441,75116000FJ,48.8694879625,2.2934009,Mamo,48.868744689422414,2.292711871735719,Italian Restaurant
3442,75116000FJ,48.8694879625,2.2934009,Jour,48.86993963951526,2.2922584800212937,Salad Place
3443,75116000FK,48.86784637499999,2.2877443840909097,Marzo Rive Droite,48.86706,2.287616,Italian Restaurant
3444,75116000FK,48.86784637499999,2.2877443840909097,Hôtel Waldorf Trocadero,48.86724672710035,2.2878619967662055,Hotel
3445,75116000FK,48.86784637499999,2.2877443840909097,La Gym Suédoise,48.86828138159264,2.2888370588922577,Gym
3446,75116000FK,48.86784637499999,2.2877443840909097,Le Boissière,48.867714257695596,2.2882139682769775,Café
3447,75116000FK,48.86784637499999,2.2877443840909097,Keep Cool,48.86831577337744,2.2889093332193036,Sports Club
3448,75116000FL,48.8666923475,2.2878365600000006,Marzo Rive Droite,48.86706,2.287616,Italian Restaurant
